step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
62,0.496997594833374,,0,,,,,,,2026-06-18T02:54:05.7540000Z
63,0.44637787342071533,,0,,,,,,,2026-06-18T02:54:19.7170000Z
64,0.5303750038146973,,0,,,,,,,2026-06-18T02:54:33.9520000Z
65,0.5132810473442078,,0,,,,,,,2026-06-18T02:54:47.5840000Z
66,0.47005337476730347,,0,,,,,,,2026-06-18T02:55:01.5590000Z
67,0.5178633332252502,,0,,,,,,,2026-06-18T02:55:15.7890000Z
68,0.48542875051498413,,0,,,,,,,2026-06-18T02:55:29.4190000Z
69,0.47389400005340576,,0,,,,,,,2026-06-18T02:55:43.0400000Z
70,0.5036220550537109,,0,0.5146136283874512,,0,,,,2026-06-18T02:56:00.8790000Z
71,0.5323508977890015,,0,,,,,,,2026-06-18T02:56:14.7200000Z
72,0.40852510929107666,,0,,,,,,,2026-06-18T02:56:28.3620000Z
73,0.5524559617042542,,0,,,,,,,2026-06-18T02:56:42.3410000Z
74,0.5659646987915039,,0,,,,,,,2026-06-18T02:56:56.0500000Z
75,0.46364736557006836,,0,,,,,,,2026-06-18T02:57:10.3130000Z
76,0.4646691679954529,,0,,,,,,,2026-06-18T02:57:24.2430000Z
77,0.4854549169540405,,0,,,,,,,2026-06-18T02:57:37.9080000Z
78,0.5049173831939697,,0,,,,,,,2026-06-18T02:57:51.5730000Z
79,0.5037557482719421,,0,,,,,,,2026-06-18T02:58:05.2340000Z
80,0.5626652836799622,,0,0.49357369542121887,,0,,,,2026-06-18T02:58:26.1510000Z
81,0.5099474787712097,,0,,,,,,,2026-06-18T02:58:39.7400000Z
82,0.4484960436820984,,0,,,,,,,2026-06-18T02:58:53.7270000Z
83,0.4797881841659546,,0,,,,,,,2026-06-18T02:59:07.6830000Z
84,0.5706148743629456,,0,,,,,,,2026-06-18T02:59:21.3450000Z
85,0.4171067476272583,,0,,,,,,,2026-06-18T02:59:35.0040000Z
86,0.4093625545501709,,0,,,,,,,2026-06-18T02:59:48.6720000Z
87,0.3587988018989563,,0,,,,,,,2026-06-18T03:00:02.3910000Z
88,0.42332398891448975,,0,,,,,,,2026-06-18T03:00:16.1080000Z
89,0.46032053232192993,,0,,,,,,,2026-06-18T03:00:29.7900000Z
90,0.41487354040145874,,0,0.48107603192329407,,0,,,,2026-06-18T03:00:48.0630000Z
91,0.5737097263336182,,0,,,,,,,2026-06-18T03:01:02.2080000Z
92,0.4439666271209717,,0,,,,,,,2026-06-18T03:01:15.8490000Z
93,0.4603426456451416,,0,,,,,,,2026-06-18T03:01:29.8710000Z
94,0.43837910890579224,,0,,,,,,,2026-06-18T03:01:44.1880000Z
95,0.4102805256843567,,0,,,,,,,2026-06-18T03:01:57.9290000Z
96,0.33750998973846436,,0,,,,,,,2026-06-18T03:02:11.6500000Z
97,0.4498664140701294,,0,,,,,,,2026-06-18T03:02:25.3640000Z
98,0.4630107879638672,,0,,,,,,,2026-06-18T03:02:39.6700000Z
99,0.40573781728744507,,0,,,,,,,2026-06-18T03:02:53.3710000Z
100,0.5299219489097595,,0,0.4440990686416626,,0,,,,2026-06-18T03:03:11.3160000Z
